code,date,open,high,low,close,volume
588000.SH,20260610,1.748,1.818,1.724,1.744,33172350
588000.SH,20260611,1.727,1.771,1.723,1.756,26617707
588000.SH,20260612,1.825,1.828,1.751,1.756,32648313
588000.SH,20260615,1.782,1.845,1.75,1.844,30014794
588000.SH,20260616,1.845,1.863,1.823,1.855,25442446
588000.SH,20260617,1.828,1.94,1.819,1.939,34743070
588000.SH,20260618,1.935,2.042,1.932,2.017,40816717
588000.SH,20260622,2.026,2.07,1.981,2.056,36095738
588000.SH,20260623,2.04,2.09,1.992,2.023,36431581
588000.SH,20260624,2.0,2.105,1.987,2.096,42445906
588000.SH,20260625,2.114,2.189,2.106,2.178,36633531
588000.SH,20260626,2.142,2.188,2.084,2.133,40480199
588000.SH,20260629,2.143,2.25,2.124,2.248,37600948
588000.SH,20260630,2.257,2.349,2.228,2.344,30844927
588000.SH,20260701,2.346,2.39,2.252,2.29,40231507
588000.SH,20260702,2.22,2.24,2.1,2.119,48508911
588000.SH,20260703,2.089,2.165,2.068,2.102,35733779
588000.SH,20260706,2.133,2.148,2.031,2.116,36035968
588000.SH,20260707,2.08,2.162,2.073,2.126,33207940
588000.SH,20260708,2.142,2.208,2.083,2.145,35749752
588000.SH,20260709,2.166,2.333,2.15,2.328,45434460
588000.SH,20260710,2.334,2.386,2.204,2.209,47029319
588000.SH,20260713,2.16,2.226,2.081,2.1,42418236
588000.SH,20260714,2.094,2.136,1.998,2.125,45748161
588000.SH,20260715,2.133,2.141,2.011,2.028,43999240
588000.SH,20260716,1.977,2.054,1.928,1.945,45474999
588000.SH,20260717,1.922,1.945,1.791,1.807,76598841
588000.SH,20260720,1.851,1.873,1.737,1.815,130587363
588000.SH,20260721,1.832,2.017,1.755,2.016,92429147
588000.SH,20260722,1.963,2.038,1.935,1.955,69062303
588000.SH,20260723,1.97,1.979,1.867,1.888,52574641
588000.SH,20260724,1.851,1.931,1.85,1.885,47465142
588000.SH,20260727,1.875,1.918,1.819,1.911,40655258
588000.SH,20260728,1.86,1.896,1.768,1.785,59997678
588000.SH,20260729,1.782,1.807,1.698,1.776,74262254
588000.SH,20260730,1.743,1.766,1.647,1.669,89808326
588000.SH,20260731,1.789,1.827,1.724,1.728,86830349
588000.SH,20260803,1.698,1.71,1.635,1.636,64762724
588000.SH,20260804,1.649,1.72,1.642,1.706,62410029
588000.SH,20260805,1.706,1.809,1.7,1.786,64532763
588000.SH,20260806,1.75,1.822,1.741,1.794,42709307
588000.SH,20260807,1.788,1.844,1.78,1.84,42528943
588000.SH,20260810,1.84,1.851,1.799,1.835,34364399
